partecipante,prototipo,task,tempo,successo,errori,azioni,tipologia azioni,outcome
partecipante_31,B,task_2,1,SI,1,4,"back, scroll down, click, back, click",Foglie di Vite
partecipante_31,B,task_3,1,SI,0,8,"click, click filtro, scroll down, click",Zuppa di Formaggio in tazza
partecipante_31,A,task_1,1,SI,0,3,"click, scroll down, click, back, scroll down, click",Ramen
partecipante_31,A,task_2,1,SI,0,4,"scroll down, click filtro, click, click",Foglie di Vite
partecipante_31,A,task_3,1,SI,0,2,"scroll down, click",Pollo peperoni e riso
partecipante_32,B,task_1,1,SI,0,4,"click, scroll down, scroll up, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_32,B,task_2,1,SI,1,3,"click, click filtro, click, scroll down, click",Stufato di Uova di Quaglia
partecipante_32,B,task_3,2,SI,0,6,"click, scroll down",Tiramisù
partecipante_32,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click, back, click",Rad Na
partecipante_32,A,task_2,1,SI,0,3,"back, scroll down, click, back, click",Pita
partecipante_32,A,task_3,1,SI,0,7,"back, scroll down, click, back, click",Yogurt melagrano
partecipante_33,B,task_1,1,SI,0,3,"click, scroll down, click",Rad Na
partecipante_33,B,task_2,1,SI,0,2,"scroll down, click filtro, click, click",Stufato di Uova di Quaglia
partecipante_33,B,task_3,2,SI,0,6,"back, click filtro, click, click",Biscotti Arancia e Cioccolato
partecipante_33,A,task_1,1,SI,0,3,"click, scroll down, click",Zuppa con funghi
partecipante_33,A,task_2,1,SI,0,3,"click, scroll down, click filtro, click, click",Pita
partecipante_33,A,task_3,1,SI,0,7,"click, scroll down",Pollo peperoni e riso
partecipante_34,B,task_1,1,SI,0,4,"click, scroll down, scroll down, scroll down, click",Spaghetti Funghi e Speck
partecipante_34,B,task_2,1,SI,0,4,"click, scroll down, scroll down, click",Zuppa Piccante con Pollo
partecipante_34,B,task_3,2,SI,0,6,"scroll down, click",Tiramisù
partecipante_34,A,task_1,1,SI,0,3,"click, click, scroll up, scroll up, scroll up",Spaghetti Funghi e Speck
partecipante_34,A,task_2,1,SI,0,3,"click, scroll down, scroll down, click",Ramen
partecipante_34,A,task_3,2,SI,0,7,"click, scroll down, scroll down, click",Pollo peperoni e riso
partecipante_35,B,task_1,1,SI,0,5,"click, scroll down, click",Pasta Bolognese
partecipante_35,B,task_2,1,SI,0,2,"click, click filtro, click, scroll down, click",Stufato di Uova di Quaglia
partecipante_35,B,task_3,2,SI,0,7,"back, scroll down, click, back, click",Madeline
partecipante_35,A,task_1,1,SI,0,3,"click, scroll down, click",Noodles con Maiale e Verdure
partecipante_35,A,task_2,1,SI,0,3,"back, scroll down, click",Ramen
partecipante_35,A,task_3,1,SI,0,4,"click filtro, click",Spaghetti Funghi e Speck
partecipante_36,B,task_1,1,SI,0,4,"click, scroll down, click",Rad Na
partecipante_36,B,task_2,1,SI,0,5,"back, scroll down, click",Ramen
partecipante_36,B,task_3,1,SI,0,8,"scroll down, click filtro, click",Noodles con Maiale e Verdure
partecipante_36,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Noodles con Maiale e Verdure
partecipante_36,A,task_2,1,SI,0,2,"back, click",Zuppa Piccante con Pollo
partecipante_36,A,task_3,1,SI,0,5,"back, click, scroll down",Pollo peperoni e riso
partecipante_37,B,task_1,1,SI,0,4,"back, click filtro, click, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_37,B,task_2,1,SI,0,3,"click, scroll down, click",Foglie di Vite
partecipante_37,B,task_3,1,SI,0,4,"back, scroll down, click, back, click",Pad Tai
partecipante_37,A,task_1,1,SI,0,2,"click filtro, click",Zuppa con funghi
partecipante_37,A,task_2,3,SI,0,3,"back, click filtro, click, click",Zuppa Piccante con Pollo
partecipante_37,A,task_3,1,SI,0,5,"back, click filtro, click, scroll down, click",Tortellini classici e rossi
partecipante_38,B,task_1,1,SI,0,3,"click, scroll down, scroll down, scroll down, scroll down, scroll down, click",Spaghetti Funghi e Speck
partecipante_38,B,task_2,2,SI,0,3,"click, scroll down, click filtro, click, scroll, click",Ramen
partecipante_38,B,task_3,2,SI,0,7,"click, scroll down, click filtro, click",Yogurt melagrano
partecipante_38,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Spaghetti Funghi e Speck
partecipante_38,A,task_2,1,SI,0,5,"back, click filtro, click, scroll down, click",Stufato di Uova di Quaglia
partecipante_38,A,task_3,1,SI,0,6,"scroll down, click filtro, click, click",Tortellini classici e rossi
partecipante_39,B,task_1,2,SI,0,3,"click, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_39,B,task_2,1,SI,0,2,"scroll down, click",Zuppa Piccante con Pollo
partecipante_39,B,task_3,1,SI,0,6,"back, click filtro, click, click",Bocconcini mozzarella
partecipante_39,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Zuppa con funghi
partecipante_39,A,task_2,2,SI,0,3,"back, scroll up, scroll up, click filtro, click, click",Pita
partecipante_39,A,task_3,1,SI,0,5,"back, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_4,B,task_1,1,SI,0,3,"click, click filtro, click",Spaghetti Pomodorini e Basilico
partecipante_4,B,task_2,1,SI,0,3,"back, click filtro, click",Bistecca di Manzo
partecipante_4,B,task_3,1,SI,0,6,"back, click filtro, click, back, click, back",Zuppa di Formaggio in tazza
partecipante_4,A,task_1,1,SI,0,3,"click, click filtro, click",Spaghetti Funghi e Speck
partecipante_4,A,task_2,1,SI,0,3,"back, click filtro, click, click, hover, click",Pita
partecipante_4,A,task_3,1,SI,0,5,"back, click filtro, click, back, click",Tortellini rossi e classici
partecipante_40,B,task_1,1,SI,0,2,"click, scroll down, click, back, click",Spaghetti Pomodorini e Basilico
partecipante_40,B,task_2,1,SI,0,3,"click, click filtro, click, click",Foglie di Vite
partecipante_40,B,task_3,2,SI,0,6,"back, click filtro, click, click",Bocconcini mozzarella
partecipante_40,A,task_1,2,SI,0,3,"click, scroll down, scroll up, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_40,A,task_2,1,SI,0,3,"click, scroll down, scroll down, click",Bistecca di Manzo
partecipante_40,A,task_3,1,SI,0,3,"click, scroll down, scroll up, click",Tortellini rossi e classici
partecipante_5,B,task_1,1,SI,0,3,"click, scroll down, click",Pad Tai
partecipante_5,B,task_2,3,SI,0,3,"back, scroll down, scroll down, scroll down, scroll down, click",Tiramisù
partecipante_5,B,task_3,5,SI,0,7,"back, scroll down, click, back, scroll down, click",Noodles con Maiale e Verdure
partecipante_5,A,task_1,2,SI,1,3,"click, scroll down, click",Waffle
partecipante_5,A,task_2,1,SI,0,3,"back, scroll down, click",Ramen
partecipante_5,A,task_3,2,SI,0,6,"back, scroll down, click, back, click, scroll down",Pollo peperoni e riso
partecipante_6,B,task_1,1,SI,0,5,"click, scroll down, click filtro, scroll down, click",Noodles con Maiale e Verdure
partecipante_6,B,task_2,1,SI,0,3,"back, click filtro, click",Bistecca di Manzo
partecipante_6,B,task_3,2,SI,0,3,"back, scroll down, click",Ramen
partecipante_6,A,task_1,1,SI,0,3,"click, click filtro, click",Spaghetti Funghi e Speck
partecipante_6,A,task_2,1,SI,0,3,"back, click filtro, click, scroll down, click",Stufato di Uova di Quaglia
partecipante_6,A,task_3,1,SI,0,4,"back, click filtro, click, scroll down, click",Rad Na
partecipante_7,B,task_1,2,SI,0,4,"click, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_7,B,task_2,2,SI,0,3,"back, click filtro, click, click",Pita
partecipante_7,B,task_3,2,SI,0,5,"back, click filtro, click, back, scroll down, click",Tortellini
partecipante_7,A,task_1,4,SI,0,3,"click, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_7,A,task_2,1,SI,0,3,"back, click filtro, click",Pita
partecipante_7,A,task_3,3,SI,0,3,"back, scroll down, click",Yogurt melagrano
partecipante_8,B,task_1,1,SI,0,5,"click, scroll down, scroll down, scroll down, scroll down, click, back, scroll down, scroll down, scroll down, click",Pasta Bolognese
partecipante_8,B,task_2,1,SI,0,4,"back, click filtro, scroll down, click",Stufato di Uova di Quaglia
partecipante_8,B,task_3,4,SI,0,6,"back, click filtro, scroll down, click, back, click",Mozzarella e pomodorini
partecipante_8,A,task_1,1,SI,0,3,"click, click filtro, click",Spaghetti Funghi e Speck
partecipante_8,A,task_2,1,SI,0,4,"back, click filtro, click, scroll down, click",Bistecca di Manzo
partecipante_8,A,task_3,2,SI,0,5,"back, click filtro, click, back, scroll down, click",Biscotti Arancia e Cioccolato
partecipante_9,B,task_1,1,SI,0,4,"click, scroll down, click, back, click",Spaghetti Pomodorini e Basilico 
partecipante_9,B,task_2,2,SI,0,4,"back, scroll down, click filtro, click",Pita
partecipante_9,B,task_3,2,SI,0,6,"back, click filtro, scroll down, click filtro, scroll down",Zuppa con funghi
partecipante_9,A,task_1,2,SI,0,3,"click, click filtro, click, click",Spaghetti Pomodorini e Basilico
partecipante_9,A,task_2,2,SI,0,4,"back, scroll down, click filtro, click, click",Foglie di Vite
partecipante_9,A,task_3,1,SI,0,3,"back, scroll down, click",Spaghetti Funghi e Speck
